,start_year,team_id,team_name,id,first_name,last_name,primary_number,birth_date,current_age,birth_city,birth_state_province,birth_country,nationality,height,weight,active,alternate_captain,captain,rookie,shoots_catches,roster_status,position_name,position_type,position_abbreviation
0,2020,1,New Jersey Devils,8477972,Josh,Jacobs,40,2/15/1996,25,Shelby Township,MI,USA,USA,"6' 2""",200,TRUE,FALSE,FALSE,TRUE,R,Y,Defenseman,Defenseman,D
1,2020,1,New Jersey Devils,8478421,A.J.,Greer,42,12/14/1996,24,Joliette,QC,CAN,CAN,"6' 3""",210,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
2,2020,1,New Jersey Devils,8474056,P.K.,Subban,76,5/13/1989,32,Toronto,ON,CAN,CAN,"6' 0""",210,TRUE,TRUE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
3,2020,1,New Jersey Devils,8475809,Scott,Wedgewood,41,8/14/1992,28,Brampton,ON,CAN,CAN,"6' 2""",207,TRUE,FALSE,FALSE,FALSE,L,Y,Goalie,Goalie,G
4,2020,1,New Jersey Devils,8476807,Matt,Tennyson,7,4/23/1990,31,Minneapolis,MN,USA,USA,"6' 2""",205,TRUE,FALSE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
5,2020,1,New Jersey Devils,8476850,Ryan,Murray,22,9/27/1993,27,Regina,SK,CAN,CAN,"6' 1""",206,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
6,2020,1,New Jersey Devils,8476923,Damon,Severson,28,8/7/1994,26,Melville,SK,CAN,CAN,"6' 2""",205,TRUE,TRUE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
7,2020,1,New Jersey Devils,8476941,Connor,Carrick,5,4/13/1994,27,Orland Park,IL,USA,USA,"5' 11""",192,TRUE,FALSE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
8,2020,1,New Jersey Devils,8477180,Aaron,Dell,47,5/4/1989,32,Airdrie,AB,CAN,CAN,"6' 0""",209,TRUE,FALSE,FALSE,FALSE,L,Y,Goalie,Goalie,G
9,2020,1,New Jersey Devils,8477341,Andreas,Johnsson,11,11/21/1994,26,Gävle,,SWE,SWE,"5' 10""",194,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
10,2020,1,New Jersey Devils,8477355,Will,Butcher,8,1/6/1995,26,Sun Prairie,WI,USA,USA,"5' 10""",190,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
11,2020,1,New Jersey Devils,8477425,Miles,Wood,44,9/13/1995,25,Buffalo,NY,USA,USA,"6' 2""",195,TRUE,TRUE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
12,2020,1,New Jersey Devils,8478399,Jonas,Siegenthaler,71,5/6/1997,24,Zurich,,CHE,CHE,"6' 3""",211,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
13,2020,1,New Jersey Devils,8478401,Pavel,Zacha,37,4/6/1997,24,Brno,,CZE,CZE,"6' 3""",210,TRUE,FALSE,FALSE,FALSE,L,Y,Center,Forward,C
14,2020,1,New Jersey Devils,8478406,Mackenzie,Blackwood,29,12/9/1996,24,Thunder Bay,ON,CAN,CAN,"6' 4""",225,TRUE,FALSE,FALSE,FALSE,L,Y,Goalie,Goalie,G
15,2020,1,New Jersey Devils,8478447,Nicholas,Merkley,39,5/23/1997,24,Calgary,AB,CAN,CAN,"5' 10""",194,TRUE,FALSE,FALSE,TRUE,L,Y,Right Wing,Forward,RW
16,2020,1,New Jersey Devils,8479407,Jesper,Bratt,63,7/30/1998,22,Stockholm,,SWE,SWE,"5' 10""",175,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
17,2020,1,New Jersey Devils,8479414,Nathan,Bastian,14,12/6/1997,23,Kitchener,ON,CAN,CAN,"6' 4""",205,TRUE,FALSE,FALSE,TRUE,R,Y,Right Wing,Forward,RW
18,2020,1,New Jersey Devils,8479415,Michael,McLeod,20,2/3/1998,23,Mississauga,ON,CAN,CAN,"6' 2""",188,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
19,2020,1,New Jersey Devils,8479511,Janne,Kuokkanen,59,5/25/1998,23,Oulunsalo,,FIN,FIN,"6' 1""",193,TRUE,FALSE,FALSE,TRUE,L,Y,Left Wing,Forward,LW
20,2020,1,New Jersey Devils,8479573,Mikhail,Maltsev,23,3/12/1998,23,St. Petersburg,,RUS,RUS,"6' 3""",198,TRUE,FALSE,FALSE,TRUE,L,Y,Left Wing,Forward,LW
21,2020,1,New Jersey Devils,8480002,Nico,Hischier,13,1/4/1999,22,Brig,,CHE,CHE,"6' 1""",175,TRUE,FALSE,TRUE,FALSE,L,Y,Center,Forward,C
22,2020,1,New Jersey Devils,8480003,Jesper,Boqvist,90,10/30/1998,22,Falun,,SWE,SWE,"6' 0""",180,TRUE,FALSE,FALSE,FALSE,L,Y,Center,Forward,C
23,2020,1,New Jersey Devils,8480883,Ty,Smith,24,3/24/2000,21,Lloydminster,AB,CAN,CAN,"5' 11""",175,TRUE,FALSE,FALSE,TRUE,L,Y,Defenseman,Defenseman,D
24,2020,1,New Jersey Devils,8481068,Yegor,Sharangovich,17,6/6/1998,23,Minsk,,BLR,BLR,"6' 2""",196,TRUE,FALSE,FALSE,TRUE,L,Y,Center,Forward,C
25,2020,1,New Jersey Devils,8481559,Jack,Hughes,86,5/14/2001,20,Orlando,FL,USA,USA,"5' 11""",176,TRUE,FALSE,FALSE,FALSE,L,Y,Center,Forward,C
26,2020,2,New York Islanders,8475314,Anders,Lee,27,7/3/1990,31,Edina,MN,USA,USA,"6' 3""",235,TRUE,FALSE,TRUE,FALSE,L,Y,Left Wing,Forward,LW
27,2020,2,New York Islanders,8470187,Johnny,Boychuk,55,1/19/1984,37,Edmonton,AB,CAN,CAN,"6' 2""",227,TRUE,FALSE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
28,2020,2,New York Islanders,8471217,Andrew,Ladd,16,12/12/1985,35,Maple Ridge,BC,CAN,CAN,"6' 3""",205,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
29,2020,2,New York Islanders,8470601,Braydon,Coburn,45,2/27/1985,36,Shaunavon,SK,CAN,CAN,"6' 5""",224,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
30,2020,2,New York Islanders,8471233,Travis,Zajac,14,5/13/1985,36,Winnipeg,MB,CAN,CAN,"6' 2""",185,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
31,2020,2,New York Islanders,8471239,Cory,Schneider,35,3/18/1986,35,Marblehead,MA,USA,USA,"6' 3""",200,TRUE,FALSE,FALSE,FALSE,L,Y,Goalie,Goalie,G
32,2020,2,New York Islanders,8472382,Andy,Greene,4,10/30/1982,38,Trenton,MI,USA,USA,"5' 11""",190,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
33,2020,2,New York Islanders,8473463,Leo,Komarov,47,1/23/1987,34,Narva,,EST,FIN,"6' 0""",208,TRUE,FALSE,FALSE,FALSE,L,Y,Right Wing,Forward,RW
34,2020,2,New York Islanders,8473504,Cal,Clutterbuck,15,11/18/1987,33,Welland,ON,CAN,CAN,"5' 11""",215,TRUE,FALSE,FALSE,FALSE,R,Y,Right Wing,Forward,RW
35,2020,2,New York Islanders,8473575,Semyon,Varlamov,40,4/27/1988,33,Samara,,RUS,RUS,"6' 2""",215,TRUE,FALSE,FALSE,FALSE,L,Y,Goalie,Goalie,G
36,2020,2,New York Islanders,8474066,Thomas,Hickey,34,2/8/1989,32,Calgary,AB,CAN,CAN,"6' 0""",186,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
37,2020,2,New York Islanders,8474573,Josh,Bailey,12,10/2/1989,31,Bowmanville,ON,CAN,CAN,"6' 1""",200,TRUE,FALSE,FALSE,FALSE,L,Y,Right Wing,Forward,RW
38,2020,2,New York Islanders,8474586,Jordan,Eberle,7,5/15/1990,31,Regina,SK,CAN,CAN,"5' 11""",187,TRUE,FALSE,FALSE,FALSE,R,Y,Right Wing,Forward,RW
39,2020,2,New York Islanders,8474709,Matt,Martin,17,5/8/1989,32,Windsor,ON,CAN,CAN,"6' 4""",220,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
40,2020,2,New York Islanders,8475151,Kyle,Palmieri,21,2/1/1991,30,Smithtown,NY,USA,USA,"5' 11""",185,TRUE,FALSE,FALSE,FALSE,R,Y,Right Wing,Forward,RW
41,2020,2,New York Islanders,8475181,Nick,Leddy,2,3/20/1991,30,Eden Prairie,MN,USA,USA,"6' 0""",207,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
42,2020,2,New York Islanders,8475231,Casey,Cizikas,53,2/27/1991,30,Toronto,ON,CAN,CAN,"5' 11""",195,TRUE,FALSE,FALSE,FALSE,L,Y,Center,Forward,C
43,2020,2,New York Islanders,8475754,Brock,Nelson,29,10/15/1991,29,Warroad,MN,USA,USA,"6' 4""",212,TRUE,FALSE,FALSE,FALSE,L,Y,Center,Forward,C
44,2020,2,New York Islanders,8476419,Jean-Gabriel,Pageau,44,11/11/1992,28,Ottawa,ON,CAN,CAN,"5' 10""",180,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
45,2020,2,New York Islanders,8476429,Scott,Mayfield,24,10/14/1992,28,St. Louis,MO,USA,USA,"6' 5""",220,TRUE,FALSE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
46,2020,2,New York Islanders,8476917,Adam,Pelech,3,8/16/1994,26,Toronto,ON,CAN,CAN,"6' 3""",205,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
47,2020,2,New York Islanders,8477506,Ryan,Pulock,6,10/6/1994,26,Dauphin,MB,CAN,CAN,"6' 2""",215,TRUE,FALSE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
48,2020,2,New York Islanders,8477527,Ross,Johnston,32,2/18/1994,27,Charlottetown,PE,CAN,CAN,"6' 5""",235,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
49,2020,2,New York Islanders,8477936,Michael,Dal Colle,28,6/20/1996,25,Woodbridge,ON,CAN,CAN,"6' 3""",200,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
50,2020,2,New York Islanders,8478009,Ilya,Sorokin,30,8/4/1995,25,Mezhdurechensk,,RUS,RUS,"6' 3""",190,TRUE,FALSE,FALSE,TRUE,L,Y,Goalie,Goalie,G
51,2020,2,New York Islanders,8478367,Cole,Bardreau,34,7/22/1993,27,Fairport,NY,USA,USA,"5' 10""",185,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
52,2020,2,New York Islanders,8478445,Mathew,Barzal,13,5/26/1997,24,Coquitlam,BC,CAN,CAN,"6' 0""",187,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
53,2020,2,New York Islanders,8478463,Anthony,Beauvillier,18,6/8/1997,24,Sorel-Tracy,QC,CAN,CAN,"5' 11""",182,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
54,2020,2,New York Islanders,8478512,Austin,Czarnik,11,12/12/1992,28,Detroit,MI,USA,USA,"5' 9""",175,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
55,2020,2,New York Islanders,8478857,Dmytro,Timashov,41,10/1/1996,24,Kirovograd,,UKR,UKR,"5' 10""",198,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
56,2020,2,New York Islanders,8478965,Ken,Appleby,55,4/10/1995,26,North Bay,ON,CAN,CAN,"6' 4""",210,TRUE,FALSE,FALSE,TRUE,L,Y,Goalie,Goalie,G
57,2020,2,New York Islanders,8479356,Kieffer,Bellows,20,6/10/1998,23,Edina,MN,USA,USA,"6' 0""",195,TRUE,FALSE,FALSE,TRUE,L,Y,Left Wing,Forward,LW
58,2020,2,New York Islanders,8479526,Otto,Koivula,21,9/1/1998,22,Nokia,,FIN,FIN,"6' 5""",223,TRUE,FALSE,FALSE,TRUE,L,Y,Left Wing,Forward,LW
59,2020,2,New York Islanders,8479583,Anatoli,Golyshev,38,2/14/1995,26,Perm,,RUS,RUS,"5' 8""",178,TRUE,FALSE,FALSE,TRUE,L,Y,Left Wing,Forward,LW
60,2020,2,New York Islanders,8480071,Robin,Salo,4,10/13/1998,22,Espoo,,FIN,FIN,"6' 1""",187,TRUE,FALSE,FALSE,TRUE,L,Y,Defenseman,Defenseman,D
61,2020,2,New York Islanders,8480222,Sebastian,Aho,25,2/17/1996,25,Umea,,SWE,SWE,"5' 10""",184,TRUE,FALSE,FALSE,TRUE,L,Y,Defenseman,Defenseman,D
62,2020,2,New York Islanders,8480306,Grant,Hutton,45,7/25/1995,25,Carmel,IN,USA,USA,"6' 3""",205,TRUE,FALSE,FALSE,TRUE,R,Y,Defenseman,Defenseman,D
63,2020,2,New York Islanders,8480789,Oliver,Wahlstrom,26,6/13/2000,21,Quincy,MA,USA,USA,"6' 2""",205,TRUE,FALSE,FALSE,TRUE,R,Y,Right Wing,Forward,RW
64,2020,2,New York Islanders,8480826,Bode,Wilde,46,1/24/2000,21,Montreal,QC,CAN,CAN,"6' 3""",195,TRUE,FALSE,FALSE,TRUE,R,Y,Defenseman,Defenseman,D
65,2020,2,New York Islanders,8480865,Noah,Dobson,8,1/7/2000,21,Summerside,PE,CAN,CAN,"6' 4""",195,TRUE,FALSE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
66,2020,2,New York Islanders,8481541,Samuel,Bolduc,48,12/9/2000,20,Laval,QC,CAN,CAN,"6' 4""",213,TRUE,FALSE,FALSE,TRUE,L,Y,Defenseman,Defenseman,D
67,2020,2,New York Islanders,8481601,Simon,Holmstrom,74,5/24/2001,20,Tranas,,SWE,SWE,"6' 1""",200,TRUE,FALSE,FALSE,TRUE,L,Y,Right Wing,Forward,RW
68,2020,3,New York Rangers,8474090,Brendan,Smith,42,2/8/1989,32,Mimico,ON,CAN,CAN,"6' 2""",200,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
69,2020,3,New York Rangers,8475184,Chris,Kreider,20,4/30/1991,30,Boxford,MA,USA,USA,"6' 3""",217,TRUE,TRUE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
70,2020,3,New York Rangers,8475868,Anthony,Bitetto,22,7/15/1990,30,Island Park,NY,USA,USA,"6' 1""",210,TRUE,FALSE,FALSE,FALSE,L,Y,Defenseman,Defenseman,D
71,2020,3,New York Rangers,8476234,Keith,Kinkaid,71,7/4/1989,32,Farmingville,NY,USA,USA,"6' 3""",186,TRUE,FALSE,FALSE,FALSE,L,Y,Goalie,Goalie,G
72,2020,3,New York Rangers,8476278,Colin,Blackwell,43,3/28/1993,28,Lawrence,MA,USA,USA,"5' 9""",190,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
73,2020,3,New York Rangers,8476458,Ryan,Strome,16,7/11/1993,28,Mississauga,ON,CAN,CAN,"6' 1""",193,TRUE,FALSE,FALSE,FALSE,R,Y,Center,Forward,C
74,2020,3,New York Rangers,8476459,Mika,Zibanejad,93,4/18/1993,28,Stockholm,,SWE,SWE,"6' 2""",208,TRUE,TRUE,FALSE,FALSE,R,Y,Center,Forward,C
75,2020,3,New York Rangers,8476858,Phillip,Di Giuseppe,33,10/9/1993,27,Toronto,ON,CAN,CAN,"6' 0""",193,TRUE,FALSE,FALSE,FALSE,L,Y,Left Wing,Forward,LW
76,2020,3,New York Rangers,8476885,Jacob,Trouba,8,2/26/1994,27,Rochester,MI,USA,USA,"6' 3""",209,TRUE,TRUE,FALSE,FALSE,R,Y,Defenseman,Defenseman,D
77,2020,3,New York Rangers,8477402,Pavel,Buchnevich,89,4/17/1995,26,Cherepovets,,RUS,RUS,"6' 3""",197,TRUE,FALSE,FALSE,FALSE,L,Y,Right Wing,Forward,RW
78,2020,3,New York Rangers,8478048,Igor,Shesterkin,31,12/30/1995,25,Moscow,,RUS,RUS,"6' 2""",182,TRUE,FALSE,FALSE,TRUE,L,Y,Goalie,Goalie,G
79,2020,3,New York Rangers,8478550,Artemi,Panarin,10,10/30/1991,29,Korkino,,RUS,RUS,"5' 11""",170,TRUE,TRUE,FALSE,FALSE,R,Y,Left Wing,Forward,LW
80,2020,3,New York Rangers,8479291,Kevin,Rooney,17,5/21/1993,28,Canton,MA,USA,USA,"6' 2""",190,TRUE,FALSE,FALSE,FALSE,L,Y,Center,Forward,C
